LDI,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0.145,0.150,0.150,0.145,0.185,0.184,0.070,0.079,0.072,0.074,0.074,0.075,0.075,0.082,0.226,0.769,0.812,0.822,0.817,0.817,0.844,0.842,0.837,0.802
Romania,0.149,0.150,0.150,0.163,0.163,0.165,0.162,0.153,0.085,0.031,0.033,0.034,0.043,0.044,0.043,0.043,0.043,0.243,0.397,0.435,0.468,0.544,0.606,0.567
Russia,0.094,0.054,0.040,0.039,0.073,0.018,0.017,0.016,0.014,0.015,0.022,0.024,0.023,0.024,0.025,0.028,0.030,0.093,0.301,0.228,0.156,0.140,0.114,0.103
Slovak Rep,,,,,,,,,,,,,,,,,,0.609,0.546,0.755,0.759,0.755,0.729,0.753
Slovenia,,,,,,,,,,,,,,,,0.129,0.139,0.507,0.771,0.759,0.741,0.802,0.811,0.664
Spain,0.192,0.151,0.158,0.166,0.165,0.083,0.083,0.416,0.231,0.062,0.062,0.066,0.066,0.073,0.078,0.797,0.812,0.819,0.824,0.820,0.810,0.830,0.760,0.803
Sweden,0.330,0.331,0.333,0.334,0.353,0.651,0.651,0.659,0.645,0.719,0.726,0.730,0.731,0.732,0.880,0.879,0.882,0.884,0.883,0.881,0.884,0.889,0.890,0.879
Switzerland,0.471,0.529,0.529,0.533,0.545,0.550,0.550,0.550,0.551,0.563,0.563,0.567,0.570,0.572,0.796,0.813,0.809,0.828,0.835,0.834,0.841,0.848,0.857,0.851
Ukraine,,,,,,,,,,,,,,,,0.028,0.030,0.233,0.341,0.235,0.293,0.281,0.223,0.318
UK,0.320,0.343,0.393,0.417,0.421,0.621,0.625,0.625,0.622,0.711,0.710,0.706,0.735,0.739,0.749,0.736,0.735,0.753,0.755,0.795,0.806,0.806,0.791,0.801
Serbia/Yugoslavia,0.088,0.087,0.131,0.129,0.128,0.140,0.123,0.068,0.112,0.091,0.100,0.100,0.118,0.120,0.123,0.129,0.139,0.153,0.180,0.273,0.541,0.533,0.352,0.271
Africa,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.071,0.064,0.081,0.094,0.094,0.093,0.094,0.094,0.094,0.101,0.098,0.037,0.078,0.065,0.065,0.097,0.101,0.145,0.117,0.161,0.169,0.165,0.175,0.151
Angola,0.010,0.015,0.025,0.035,0.035,0.035,0.035,0.036,0.034,0.034,0.034,0.034,0.034,0.035,0.047,0.050,0.051,0.056,0.084,0.084,0.099,0.149,0.148,0.200
Benin,0.012,0.022,0.032,0.042,0.042,0.043,0.043,0.043,0.043,0.045,0.072,0.188,0.228,0.115,0.084,0.088,0.087,0.169,0.521,0.511,0.534,0.541,0.548,0.280
Botswana,0.065,0.075,0.085,0.095,0.095,0.095,0.095,0.097,0.097,0.101,0.101,0.109,0.195,0.511,0.512,0.515,0.555,0.577,0.588,0.602,0.620,0.617,0.597,0.490
Burkina Faso,0.060,0.070,0.080,0.090,0.090,0.090,0.091,0.091,0.108,0.132,0.133,0.202,0.223,0.128,0.120,0.179,0.116,0.108,0.287,0.373,0.376,0.406,0.327,0.504
Burundi,0.017,0.027,0.037,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.053,0.062,0.134,0.072,0.073,0.087,0.142,0.092,0.175,0.153,0.154,0.157,0.062,0.050
Cameroon,0.010,0.010,0.010,0.017,0.017,0.017,0.017,0.017,0.017,0.047,0.048,0.083,0.072,0.071,0.073,0.081,0.101,0.128,0.152,0.162,0.160,0.158,0.161,0.124
CAR,0.012,0.022,0.032,0.042,0.042,0.042,0.042,0.043,0.043,0.111,0.119,0.104,0.087,0.038,0.036,0.077,0.067,0.124,0.225,0.220,0.191,0.194,0.172,0.218
Chad,0.010,0.010,0.014,0.024,0.024,0.024,0.024,0.024,0.024,0.064,0.063,0.107,0.096,0.089,0.066,0.034,0.034,0.047,0.081,0.101,0.099,0.103,0.095,0.095
Congo,0.020,0.030,0.040,0.050,0.050,0.050,0.050,0.050,0.050,0.102,0.104,0.184,0.094,0.024,0.036,0.033,0.033,0.067,0.295,0.074,0.096,0.093,0.099,0.113
Congo Dem R,0.010,0.010,0.010,0.014,0.047,0.041,0.041,0.041,0.041,0.041,0.042,0.163,0.104,0.030,0.032,0.034,0.033,0.054,0.038,0.055,0.101,0.158,0.130,0.157
C�te d'Ivoire,0.023,0.033,0.043,0.053,0.053,0.053,0.053,0.053,0.055,0.082,0.084,0.138,0.145,0.145,0.144,0.144,0.144,0.170,0.201,0.171,0.303,0.302,0.342,0.314
Egypt,0.107,0.093,0.162,0.167,0.138,0.174,0.174,0.167,0.177,0.195,0.093,0.119,0.146,0.148,0.168,0.126,0.171,0.162,0.161,0.158,0.152,0.153,0.098,0.122
Equat. Guinea,,,,,,,,,,0.019,0.019,0.041,0.049,0.021,0.010,0.024,0.048,0.053,0.058,0.058,0.058,0.054,0.054,0.052
Eritrea,,,,,,,,,,0.086,0.085,0.075,0.026,0.023,0.011,0.010,0.010,0.014,0.036,0.028,0.010,0.010,0.010,0.011
