AHDI,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.046,0.046,0.051,0.058,0.067,0.072,0.077,0.079,0.084,0.105,0.110,0.093,0.118,0.127,0.144,0.182,0.211,0.248,0.246,0.285,0.293,0.316,0.338,0.323
Angola,0.019,0.021,0.024,0.027,0.027,0.027,0.027,0.027,0.029,0.034,0.036,0.039,0.047,0.055,0.070,0.080,0.088,0.099,0.115,0.121,0.156,0.208,0.222,0.243
Benin,0.021,0.024,0.029,0.033,0.038,0.033,0.043,0.043,0.046,0.053,0.064,0.087,0.102,0.090,0.091,0.106,0.120,0.153,0.215,0.227,0.242,0.258,0.271,0.248
Botswana,0.027,0.028,0.035,0.041,0.051,0.056,0.056,0.060,0.065,0.082,0.091,0.099,0.127,0.191,0.229,0.260,0.328,0.367,0.374,0.373,0.393,0.435,0.440,0.448
Burkina Faso,0.028,0.029,0.030,0.032,0.036,0.036,0.036,0.036,0.040,0.046,0.049,0.056,0.060,0.055,0.062,0.078,0.079,0.087,0.124,0.148,0.165,0.187,0.184,0.231
Burundi,0.019,0.022,0.024,0.025,0.031,0.033,0.039,0.042,0.043,0.055,0.063,0.071,0.086,0.079,0.085,0.094,0.110,0.098,0.122,0.128,0.141,0.157,0.131,0.126
Cameroon,0.019,0.019,0.019,0.022,0.024,0.024,0.025,0.027,0.036,0.062,0.074,0.096,0.101,0.110,0.125,0.144,0.169,0.183,0.188,0.195,0.206,0.218,0.232,0.221
CAR,0.020,0.024,0.026,0.028,0.028,0.028,0.028,0.028,0.041,0.070,0.077,0.079,0.080,0.071,0.077,0.107,0.108,0.132,0.154,0.154,0.155,0.167,0.165,0.183
Chad,0.018,0.018,0.020,0.023,0.023,0.022,0.025,0.025,0.027,0.038,0.040,0.047,0.054,0.061,0.064,0.059,0.065,0.070,0.085,0.094,0.108,0.120,0.140,0.143
Congo,0.024,0.026,0.028,0.030,0.037,0.037,0.036,0.043,0.052,0.091,0.100,0.122,0.116,0.092,0.119,0.143,0.157,0.181,0.257,0.183,0.206,0.214,0.228,0.228
Congo Dem R,0.018,0.017,0.018,0.020,0.033,0.033,0.039,0.040,0.048,0.062,0.068,0.101,0.097,0.077,0.085,0.090,0.097,0.115,0.099,0.111,0.133,0.154,0.177,0.197
C�te d'Ivoire,0.025,0.027,0.029,0.031,0.036,0.037,0.039,0.040,0.042,0.054,0.061,0.076,0.090,0.103,0.124,0.152,0.163,0.168,0.178,0.176,0.211,0.227,0.259,0.264
Egypt,0.040,0.040,0.050,0.058,0.066,0.080,0.084,0.086,0.094,0.130,0.113,0.125,0.138,0.145,0.161,0.180,0.226,0.245,0.263,0.283,0.292,0.304,0.267,0.321
Equat. Guinea,,,,,,,,,,0.052,0.063,0.084,0.099,0.084,0.080,0.106,0.134,0.152,0.164,0.184,0.198,0.201,0.207,0.206
Eritrea,,,,,,,,,,0.057,0.064,0.066,0.057,0.061,0.056,0.058,0.062,0.077,0.112,0.111,0.092,0.095,0.105,0.118
Eswatini,0.024,0.025,0.032,0.034,0.035,0.048,0.055,0.057,0.063,0.076,0.084,0.094,0.123,0.151,0.156,0.188,0.205,0.226,0.219,0.198,0.188,0.201,0.222,0.227
Ethiopia,0.018,0.018,0.019,0.019,0.020,0.020,0.024,0.026,0.025,0.033,0.038,0.043,0.049,0.054,0.047,0.054,0.057,0.073,0.105,0.116,0.123,0.149,0.167,0.206
Gabon,0.021,0.021,0.021,0.026,0.031,0.031,0.031,0.038,0.044,0.085,0.103,0.128,0.131,0.143,0.163,0.188,0.203,0.233,0.256,0.257,0.280,0.305,0.329,0.343
Gambia,0.030,0.032,0.033,0.037,0.043,0.042,0.041,0.040,0.049,0.059,0.067,0.076,0.090,0.105,0.116,0.138,0.156,0.175,0.136,0.159,0.168,0.179,0.175,0.269
Ghana,0.031,0.032,0.034,0.039,0.043,0.052,0.060,0.063,0.067,0.108,0.138,0.163,0.168,0.205,0.160,0.244,0.165,0.178,0.263,0.299,0.326,0.340,0.374,0.405
Guinea,0.017,0.017,0.017,0.024,0.025,0.025,0.024,0.024,0.025,0.032,0.037,0.042,0.052,0.059,0.067,0.078,0.085,0.095,0.122,0.132,0.146,0.149,0.166,0.153
Guinea-Bissau,0.017,0.017,0.017,0.020,0.020,0.020,0.020,0.020,0.020,0.022,0.024,0.028,0.036,0.043,0.072,0.079,0.081,0.093,0.141,0.149,0.167,0.184,0.209,0.229
Kenya,0.022,0.023,0.025,0.032,0.040,0.045,0.046,0.047,0.052,0.082,0.091,0.107,0.141,0.148,0.160,0.179,0.185,0.203,0.227,0.239,0.274,0.286,0.303,0.307
Lesotho,0.025,0.027,0.035,0.045,0.054,0.063,0.067,0.070,0.078,0.098,0.108,0.118,0.144,0.143,0.156,0.171,0.180,0.208,0.236,0.226,0.267,0.275,0.293,0.308
Liberia,0.041,0.041,0.043,0.046,0.065,0.070,0.075,0.075,0.084,0.085,0.090,0.099,0.109,0.121,0.144,0.125,0.141,0.108,0.126,0.176,0.216,0.273,0.279,0.293
Lybia,0.016,0.017,0.017,0.018,0.021,0.024,0.027,0.028,0.030,0.066,0.085,0.099,0.126,0.103,0.117,0.160,0.178,0.197,0.206,0.214,0.222,0.236,0.284,0.277
Madagascar,0.025,0.027,0.027,0.045,0.049,0.057,0.060,0.062,0.066,0.084,0.093,0.107,0.120,0.127,0.123,0.128,0.134,0.150,0.209,0.212,0.224,0.180,0.254,0.239
Malawi,0.024,0.024,0.024,0.031,0.034,0.037,0.038,0.042,0.045,0.048,0.056,0.064,0.082,0.087,0.101,0.112,0.120,0.119,0.189,0.196,0.222,0.247,0.261,0.273
Mali,0.018,0.019,0.022,0.024,0.024,0.025,0.027,0.030,0.033,0.043,0.047,0.066,0.069,0.064,0.075,0.090,0.096,0.109,0.149,0.156,0.190,0.203,0.211,0.197
Mauritania,0.035,0.040,0.044,0.049,0.050,0.054,0.056,0.064,0.072,0.085,0.091,0.108,0.112,0.119,0.125,0.111,0.117,0.128,0.170,0.183,0.187,0.237,0.221,0.237
Mauritius,0.068,0.072,0.075,0.090,0.096,0.107,0.114,0.117,0.126,0.201,0.222,0.239,0.271,0.312,0.337,0.369,0.394,0.422,0.448,0.463,0.481,0.502,0.541,0.521
Morocco,0.022,0.022,0.022,0.027,0.037,0.042,0.046,0.049,0.051,0.068,0.074,0.089,0.115,0.121,0.127,0.160,0.179,0.200,0.223,0.248,0.267,0.286,0.308,0.330
Mozambique,0.021,0.021,0.021,0.027,0.028,0.028,0.032,0.035,0.039,0.041,0.048,0.053,0.061,0.067,0.082,0.086,0.094,0.127,0.168,0.190,0.198,0.217,0.249,0.233
Namibia,0.020,0.023,0.034,0.045,0.057,0.069,0.080,0.082,0.088,0.113,0.122,0.130,0.142,0.152,0.163,0.195,0.204,0.330,0.344,0.313,0.320,0.336,0.377,0.379
Niger,0.026,0.027,0.029,0.032,0.030,0.030,0.032,0.036,0.040,0.041,0.043,0.050,0.054,0.059,0.061,0.070,0.075,0.103,0.129,0.139,0.154,0.137,0.196,0.201
Nigeria,0.027,0.028,0.029,0.031,0.031,0.037,0.037,0.039,0.054,0.070,0.091,0.112,0.119,0.105,0.113,0.149,0.125,0.139,0.143,0.210,0.226,0.250,0.283,0.292
Rwanda,0.017,0.017,0.017,0.023,0.029,0.029,0.034,0.037,0.038,0.047,0.054,0.080,0.101,0.115,0.106,0.122,0.134,0.142,0.122,0.139,0.174,0.197,0.214,0.224
S�o Tom� and Principe ,,,,,,,,,,0.054,0.060,0.070,0.087,0.098,0.141,0.167,0.186,0.211,0.274,0.283,0.299,0.318,0.346,0.368
Senegal,0.025,0.028,0.030,0.033,0.034,0.037,0.043,0.044,0.051,0.065,0.071,0.098,0.104,0.116,0.133,0.153,0.176,0.202,0.222,0.234,0.228,0.271,0.279,0.289
