Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,,,,,,,,,,,,,,,,,,,,,1.845656459,1.965614355,2.05125743,1.492830271,1.292231556,1.659535207,0.807505168,0.552177362,2.976023547,2.737137104,1.114381923,1.389223506,1.388707887,0.977500985,1.094989854,0.853350672,1.001624722,0.969971854,0.537067261,0.617206953,0.682250474,0.71433521,0.459805802,0.430571953,1.137211743,0.98190151,1.831438115,1.686472368,1.974702766,0.704216079,1.679754037,2.142670048,1.604648805,1.107632317,0.784766836,0.658724232,0.526340831,0.749247066,0.678372707,0.580269555,0.618935968,0.917744336,
Bahrain,,,,,,,,,,,,,,,,,,,,,71.33933048,60.66773702,34.77567484,32.24359949,34.6847206,33.93451447,28.21599703,33.74584174,26.78285796,34.74617412,40.87406824,23.61930779,24.17536537,21.48392146,18.23508315,18.95891957,22.47407359,20.92394577,15.15663745,18.93070996,22.61661109,19.60648061,18.30967403,18.25152267,19.54749939,23.55017826,23.9324887,22.27590613,24.8161182,18.07620914,20.46211656,26.99494314,23.58222136,24.53363355,22.41132826,12.63467523,9.648615492,11.16032746,14.75135642,13.36378399,10.70414142,16.64003372,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248609656,1.368140583,0.091740863,1.910367376,1.548263334,1.360924692,1.25561727,1.321347213,0.87697262,0.823756269,1.706172992,1.830450777,1.643955987,2.124648767,3.637767327,1.45852245,2.722289429,3.526252702,2.22058549,1.761610481,1.236322738,1.01862795,1.046956686,1.2816214,1.052591803,0.800756928,0.781248846,0.813398711,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46495317,0.699615528,2.264168517,2.212482022,1.922932672,2.295403927,3.371197224,3.188023051,0.797134865,1.720730294,2.545576715,2.145280942,1.811256532,1.765396196,1.791530557,1.769998576,1.677895076,1.555101605,1.6038513,1.141105787,1.213578839,1.654101784,1.727820267,1.435801056,1.324615641,1.168670461,1.242769571,1.564175833,1.981284062,1.669605347,1.520638317,1.863302402,
Belize,,,,,,,,,,,0.993307334,0.890162687,0.817435115,1.321847133,0.992842713,1.217720709,1.13198493,1.061159345,1.12096925,1.557448552,1.318999148,1.098051543,1.724917667,0.983097545,0.660556481,0.56307571,0.458824723,0.76802523,0.666135185,0.650219922,0.572758685,0.535944914,0.477522642,0.436250448,0.397405388,0.487323154,0.409891121,0.396693346,0.331381514,0.282795926,0.205648154,0.204856055,0.214525511,0.209561895,0.185339714,0.216624955,2.339459247,3.043549583,4.787787621,3.210217741,4.218535449,5.751302665,3.949102434,2.747871459,2.060630487,0.832694637,0.707884095,0.740544656,0.796890251,0.584709329,0.478914006,0.523036537,
Bermuda,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,,,,,,,,,,,1.99545883,1.60568602,1.607740672,4.627836782,8.579185603,4.715688922,4.289771284,4.933493273,5.293841854,8.810239399,11.69712014,5.135768256,3.881839384,4.698109936,3.905238633,3.512394647,2.5038564,3.616385365,5.360422148,7.423794855,7.287767175,3.865362523,3.835795492,3.641556134,4.411089096,5.110800008,4.732803056,4.013825292,2.235948064,2.774976275,4.612827883,4.333686865,4.944851247,5.316278028,7.429981188,11.54522087,14.63345652,13.98493458,12.77668676,7.448517422,9.161612122,14.00109561,12.35314111,11.95986829,10.53288022,4.118077548,2.972753126,5.014566925,5.371667258,4.095293587,2.720379798,9.467694196,
Brazil,,,,,,,,,,,1.61330031,1.392644414,1.38003707,1.407882987,1.830872422,2.005677682,1.933627596,1.768231651,1.698062009,2.364769118,2.770809886,2.434709757,2.681758823,3.513261434,3.533836638,3.808601181,2.366418721,2.652742125,2.350763347,2.304012518,2.681673899,2.321097342,2.48015551,2.056631272,1.373197742,1.148775609,1.148891708,1.038958945,0.962811622,1.714509741,2.159120072,2.237741238,2.81546731,2.700344294,2.534960365,3.650474977,3.827145159,4.102014946,4.776048833,2.384873876,3.64871283,4.33686639,3.85552496,3.786860284,3.286232795,2.35832735,2.430135322,2.733757678,3.617591202,3.217173033,3.22987656,7.941111999,
Barbados,,,,,,,,,,,,,,,0.350418652,0.334129284,0.396754189,0.346395217,0.389467426,0.880396233,0.790167198,0.426921048,0.296856409,0.542142114,0.80526749,0.783951444,0.257829883,0.331409509,0.202542432,0.265086254,0.42022875,0.230289623,0.27513467,0.249148835,0.223828846,0.258669173,0.230653857,0.176665303,0.144360374,0.272777479,0.380670353,0.246298576,0.243476236,0.224503344,0.239255676,0.356611997,0.397643724,0.354933568,0.400710135,0.217755378,0.297144735,0.478258262,0.455018922,0.38379567,0.327779296,0.129202531,0.09666448,0.132282263,0.214063429,0.230547662,0.138343276,0.328405869,
Brunei Darussalam,,,,,,,,,,,3.122384898,3.319984355,9.960798487,24.84627231,62.60669496,65.51543683,69.55448878,65.35439119,61.72098295,,59.90043152,39.29751471,24.44429982,33.17130912,37.93300389,34.7995987,33.9562596,35.10040697,26.42396251,32.95956893,38.94423345,24.54448977,26.00345513,27.54145021,26.06340431,23.95933237,26.94441007,25.89324371,18.2806644,24.37018079,34.98067973,28.06895874,25.60908651,28.18666525,30.67369555,34.8705619,37.40658778,33.59915679,31.9744921,23.55210448,26.7152442,29.60862114,25.20928896,21.47323232,22.09864746,18.89829893,15.67377093,17.15059027,22.50766674,20.84931772,13.75245458,24.28001394,
